,1251-1M,1251-2M,1251-3M,1251-4M,1477-1M,1477-3M,51M,55M,GS1,GS11,GS12,GS13,GS16,GS17,GS19,GS2,GS23,GS24,GS26,GS3,GS32,GS33,GS34,GS35,GS37,GS4,GS40,GS47,GS49,GS5,GS50,GS56,GS57M,GS58M,GS6,GS64M,GS7,GS71M,GS77M,GS78M,GS79M,GS8,GS80M,GS81M,GS84M,GS85M
1251-1M,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
1251-2M,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
1251-3M,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
1251-4M,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
1477-1M,0.135,0.135,0.135,0.135,0,0,0.011,0,0.156,0.011,0.011,0.156,0.135,0.168,0.011,0.135,0.156,0.168,0.168,0.135,0.156,0.156,0.011,0.135,0.011,0.168,0.168,0.135,0.123,0.168,0.123,0.135,0,0.011,0.011,0,0.156,0,0.156,0.156,0.156,0.168,0.168,0.168,0.168,0.168
1477-3M,0.135,0.135,0.135,0.135,0,0,0.011,0,0.156,0.011,0.011,0.156,0.135,0.168,0.011,0.135,0.156,0.168,0.168,0.135,0.156,0.156,0.011,0.135,0.011,0.168,0.168,0.135,0.123,0.168,0.123,0.135,0,0.011,0.011,0,0.156,0,0.156,0.156,0.156,0.168,0.168,0.168,0.168,0.168
51M,0.095,0.095,0.095,0.095,0.011,0.011,0,0.011,0.08,0,0,0.08,0.095,0.094,0,0.095,0.08,0.094,0.094,0.095,0.08,0.08,0,0.095,0,0.094,0.094,0.095,0.08,0.094,0.08,0.095,0.011,0,0,0.011,0.08,0.011,0.08,0.08,0.08,0.094,0.094,0.094,0.094,0.094
55M,0.135,0.135,0.135,0.135,0,0,0.011,0,0.156,0.011,0.011,0.156,0.135,0.168,0.011,0.135,0.156,0.168,0.168,0.135,0.156,0.156,0.011,0.135,0.011,0.168,0.168,0.135,0.123,0.168,0.123,0.135,0,0.011,0.011,0,0.156,0,0.156,0.156,0.156,0.168,0.168,0.168,0.168,0.168
GS1,0,0,0,0,0.156,0.156,0.08,0.156,0,0.08,0.08,0,0,0.004,0.08,0,0,0.004,0.004,0,0,0,0.08,0,0.08,0.004,0.004,0,0.074,0.004,0.074,0,0.156,0.08,0.08,0.156,0,0.156,0,0,0,0.004,0.004,0.004,0.004,0.004
GS11,0.095,0.095,0.095,0.095,0.011,0.011,0,0.011,0.08,0,0,0.08,0.095,0.094,0,0.095,0.08,0.094,0.094,0.095,0.08,0.08,0,0.095,0,0.094,0.094,0.095,0.08,0.094,0.08,0.095,0.011,0,0,0.011,0.08,0.011,0.08,0.08,0.08,0.094,0.094,0.094,0.094,0.094
GS12,0.095,0.095,0.095,0.095,0.011,0.011,0,0.011,0.08,0,0,0.08,0.095,0.094,0,0.095,0.08,0.094,0.094,0.095,0.08,0.08,0,0.095,0,0.094,0.094,0.095,0.08,0.094,0.08,0.095,0.011,0,0,0.011,0.08,0.011,0.08,0.08,0.08,0.094,0.094,0.094,0.094,0.094
GS13,0,0,0,0,0.156,0.156,0.08,0.156,0,0.08,0.08,0,0,0.004,0.08,0,0,0.004,0.004,0,0,0,0.08,0,0.08,0.004,0.004,0,0.074,0.004,0.074,0,0.156,0.08,0.08,0.156,0,0.156,0,0,0,0.004,0.004,0.004,0.004,0.004
GS16,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
GS17,0,0,0,0,0.168,0.168,0.094,0.168,0.004,0.094,0.094,0.004,0,0,0.094,0,0.004,0,0,0,0.004,0.004,0.094,0,0.094,0,0,0,0.089,0,0.089,0,0.168,0.094,0.094,0.168,0.004,0.168,0.004,0.004,0.004,0,0,0,0,0
GS19,0.095,0.095,0.095,0.095,0.011,0.011,0,0.011,0.08,0,0,0.08,0.095,0.094,0,0.095,0.08,0.094,0.094,0.095,0.08,0.08,0,0.095,0,0.094,0.094,0.095,0.08,0.094,0.08,0.095,0.011,0,0,0.011,0.08,0.011,0.08,0.08,0.08,0.094,0.094,0.094,0.094,0.094
GS2,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
GS23,0,0,0,0,0.156,0.156,0.08,0.156,0,0.08,0.08,0,0,0.004,0.08,0,0,0.004,0.004,0,0,0,0.08,0,0.08,0.004,0.004,0,0.074,0.004,0.074,0,0.156,0.08,0.08,0.156,0,0.156,0,0,0,0.004,0.004,0.004,0.004,0.004
GS24,0,0,0,0,0.168,0.168,0.094,0.168,0.004,0.094,0.094,0.004,0,0,0.094,0,0.004,0,0,0,0.004,0.004,0.094,0,0.094,0,0,0,0.089,0,0.089,0,0.168,0.094,0.094,0.168,0.004,0.168,0.004,0.004,0.004,0,0,0,0,0
GS26,0,0,0,0,0.168,0.168,0.094,0.168,0.004,0.094,0.094,0.004,0,0,0.094,0,0.004,0,0,0,0.004,0.004,0.094,0,0.094,0,0,0,0.089,0,0.089,0,0.168,0.094,0.094,0.168,0.004,0.168,0.004,0.004,0.004,0,0,0,0,0
GS3,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
GS32,0,0,0,0,0.156,0.156,0.08,0.156,0,0.08,0.08,0,0,0.004,0.08,0,0,0.004,0.004,0,0,0,0.08,0,0.08,0.004,0.004,0,0.074,0.004,0.074,0,0.156,0.08,0.08,0.156,0,0.156,0,0,0,0.004,0.004,0.004,0.004,0.004
GS33,0,0,0,0,0.156,0.156,0.08,0.156,0,0.08,0.08,0,0,0.004,0.08,0,0,0.004,0.004,0,0,0,0.08,0,0.08,0.004,0.004,0,0.074,0.004,0.074,0,0.156,0.08,0.08,0.156,0,0.156,0,0,0,0.004,0.004,0.004,0.004,0.004
GS34,0.095,0.095,0.095,0.095,0.011,0.011,0,0.011,0.08,0,0,0.08,0.095,0.094,0,0.095,0.08,0.094,0.094,0.095,0.08,0.08,0,0.095,0,0.094,0.094,0.095,0.08,0.094,0.08,0.095,0.011,0,0,0.011,0.08,0.011,0.08,0.08,0.08,0.094,0.094,0.094,0.094,0.094
GS35,0,0,0,0,0.135,0.135,0.095,0.135,0,0.095,0.095,0,0,0,0.095,0,0,0,0,0,0,0,0.095,0,0.095,0,0,0,0.091,0,0.091,0,0.135,0.095,0.095,0.135,0,0.135,0,0,0,0,0,0,0,0
GS37,0.095,0.095,0.095,0.095,0.011,0.011,0,0.011,0.08,0,0,0.08,0.095,0.094,0,0.095,0.08,0.094,0.094,0.095,0.08,0.08,0,0.095,0,0.094,0.094,0.095,0.08,0.094,0.08,0.095,0.011,0,0,0.011,0.08,0.011,0.08,0.08,0.08,0.094,0.094,0.094,0.094,0.094
